MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.000113 after 2900 iterations
res_norm = 0.000104 after 3000 iterations
res_norm = 0.000095 after 3100 iterations
res_norm = 0.000088 after 3200 iterations
res_norm = 0.000081 after 3300 iterations
res_norm = 0.000075 after 3400 iterations
res_norm = 0.000069 after 3500 iterations
res_norm = 0.000064 after 3600 iterations
res_norm = 0.000060 after 3700 iterations
Problem solved in 3734 iterations
res_norm = 0.011572 after 100 iterations
res_norm = 0.006423 after 200 iterations
res_norm = 0.004284 after 300 iterations
res_norm = 0.003111 after 400 iterations
res_norm = 0.002374 after 500 iterations
res_norm = 0.001873 after 600 iterations
